SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
1054186,161674,1,6,-1180,-1187,6948.36,6948.36
1330831,151639,0,34,-2156,-2156,1716.525,1716.525
2085231,193053,2,1,-63,-63,25425,25425
2452527,199697,1,3,-2418,-2426,24350.13,24350.13
2714724,167756,1,2,-1383,-1366,2165.04,2160.585
1137312,164489,1,12,-1384,-1417,5970.375,5970.375
2234264,184693,4,11,-349,-352,29432.295,29432.295
1818599,111420,2,4,-968,-994,17862.165,17862.165
2723183,112102,0,14,-197,-197,70.74,70.74
1413990,109741,1,4,-570,-609,14308.47,14308.47
1782554,106597,1,3,-933,-937,34620.525,34620.525
2558880,154793,1,8,-1262,-1269,15031.08,15031.08
1570206,147645,0,20,-761,-761,21.51,21.51
1723268,197273,1,14,-755,-800,6093.99,6093.99
1594684,100193,0,56,-1153,-1153,301.86,301.86
1456258,118323,1,6,-2619,-2619,4844.925,4844.925
1053286,170192,1,7,-500,-503,6882.84,6882.84
1410565,197687,1,1,-1037,-1048,12514.05,12510.45
2391610,183431,0,20,-1680,-1693,7875,7875
2329072,183463,1,11,-1699,-1693,7283.295,7283.295
1354314,196570,1,14,-361,-365,15219,15219
2260765,106012,3,23,-56,-59,13494.915,13494.915
1995642,134723,1,38,-1277,-1282,12949.2,12949.2
2631836,140337,0,116,-322,-322,560.88,560.88
2702769,102122,1,1,-281,-286,5178.195,5178.195
1770345,128334,1,5,-240,-255,10649.925,10649.925
1818333,191655,1,6,-345,-356,16479.27,16479.27
1991673,162903,0,46,-2548,-2561,5400,5400
1184783,140804,0,106,-155,-155,503.46,503.46
1181315,174565,1,7,-1894,-1895,16274.79,16274.79
1840786,175114,1,11,-476,-474,21179.7,21161.7
1618622,128303,1,5,-2807,-2807,6523.425,6523.425
1720935,176364,1,9,-354,-356,61192.53,61192.53
2039177,190995,1,5,-1145,-1172,6966.09,6966.09
2671380,111601,1,7,-540,-548,8109.765,8109.765
1003606,188637,0,105,-174,-174,110.655,110.655
2553780,161066,1,3,-162,-190,11529.63,11529.63
1439208,154898,1,20,-181,-185,8851.23,8851.23
2717177,149207,0,88,-1219,-1219,741.96,741.96
1133724,146582,1,6,-316,-332,17115.57,17115.57
2270983,159586,0,30,-2022,-2046,9000,1800
1640082,172575,1,4,-827,-832,8720.28,8720.28
1434401,173001,5,5,-211,-217,4802.13,4802.13
1682661,179939,1,9,-1852,-1860,3456.675,3456.675
2150006,191981,1,3,-2060,-2068,15987.96,15987.96
1644499,111587,1,8,-2116,-2101,3078.81,3078.81
1846594,186032,1,6,-810,-810,7389.09,7389.09
1895324,131465,1,6,-1386,-1379,3229.065,3212.865
2411245,153352,1,1,-2588,-2555,3294.9,650.52
1949985,157527,1,5,-186,-190,8533.485,8533.485
1220449,136423,1,16,-61,-89,34717.5,2675.745
